risk_id,org_id,risk_title,risk_statement,likelihood,impact,inherent_risk,residual_risk,owner,status,last_reviewed,related_controls
RSK-V5L6H43Z,ORG-ACME,Service disruption due to unmanaged vulnerabilities,"If controls are insufficient, service disruption due to unmanaged vulnerabilities may occur, impacting confidentiality/integrity/availability.",Unlikely,Minor,High,Medium,CISO,monitoring,2025-11-09T04:50:17Z,CTRL-AU-6;CTRL-AC-1
RSK-D9IEEBVA,ORG-ACME,Unauthorized access via weak privileged access controls,"If controls are insufficient, unauthorized access via weak privileged access controls may occur, impacting confidentiality/integrity/availability.",Possible,Moderate,Critical,Medium,Head of Payments,mitigating,2025-12-30T19:41:43Z,CTRL-CM-2;CTRL-SI-2
RSK-4CNW3VRL,ORG-ACME,Credential compromise via phishing,"If controls are insufficient, credential compromise via phishing may occur, impacting confidentiality/integrity/availability.",Possible,Moderate,High,Medium,Head of Payments,mitigating,2025-12-30T16:45:57Z,CTRL-CM-2;CTRL-SC-8
RSK-9M88L573,ORG-ACME,Data exposure due to misconfigured cloud storage,"If controls are insufficient, data exposure due to misconfigured cloud storage may occur, impacting confidentiality/integrity/availability.",Possible,Moderate,High,High,Risk Manager,monitoring,2025-10-06T14:01:13Z,CTRL-AU-6;CTRL-CM-2
RSK-AORRS94N,ORG-ORION,Unauthorized access via weak privileged access controls,"If controls are insufficient, unauthorized access via weak privileged access controls may occur, impacting confidentiality/integrity/availability.",Rare,Moderate,Medium,High,Privacy Officer,monitoring,2025-12-09T20:36:31Z,CTRL-AC-1;CTRL-SI-2
RSK-5NW5Y60C,ORG-ORION,Service disruption due to unmanaged vulnerabilities,"If controls are insufficient, service disruption due to unmanaged vulnerabilities may occur, impacting confidentiality/integrity/availability.",Likely,Minor,High,High,Head of Platform,mitigating,2025-11-26T09:39:51Z,CTRL-AC-1;CTRL-AU-6
RSK-JL51W2AC,ORG-ORION,Credential compromise via phishing,"If controls are insufficient, credential compromise via phishing may occur, impacting confidentiality/integrity/availability.",Rare,Moderate,High,Medium,Head of IT,mitigating,2025-12-11T16:58:16Z,CTRL-IR-4;CTRL-AC-1
RSK-GUQEE17K,ORG-ORION,Compliance breach due to insufficient logging and monitoring,"If controls are insufficient, compliance breach due to insufficient logging and monitoring may occur, impacting confidentiality/integrity/availability.",Almost Certain,Severe,High,Medium,Privacy Officer,open,2025-11-25T08:27:00Z,CTRL-CM-2;CTRL-IR-4
RSK-WULWP7ME,ORG-EMBER,Service disruption due to unmanaged vulnerabilities,"If controls are insufficient, service disruption due to unmanaged vulnerabilities may occur, impacting confidentiality/integrity/availability.",Likely,Severe,High,Medium,Risk Manager,accepted,2026-01-04T20:30:12Z,CTRL-SC-8;CTRL-AC-1
RSK-XM96HKJR,ORG-EMBER,Data exposure due to misconfigured cloud storage,"If controls are insufficient, data exposure due to misconfigured cloud storage may occur, impacting confidentiality/integrity/availability.",Likely,Major,Medium,Low,Head of IT,accepted,2025-11-07T04:15:29Z,CTRL-AC-1;CTRL-CM-2
RSK-SJ6A2P1A,ORG-EMBER,Credential compromise via phishing,"If controls are insufficient, credential compromise via phishing may occur, impacting confidentiality/integrity/availability.",Rare,Moderate,Medium,Medium,Head of Payments,open,2025-11-20T21:00:04Z,CTRL-AC-1;CTRL-SI-2
RSK-8FYN9G45,ORG-EMBER,Unauthorized access via weak privileged access controls,"If controls are insufficient, unauthorized access via weak privileged access controls may occur, impacting confidentiality/integrity/availability.",Likely,Moderate,Critical,High,Head of Payments,mitigating,2025-12-01T11:23:20Z,CTRL-CM-2;CTRL-AC-1
